Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.17     0.00    16276     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.17     0.00    16234     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_leftmost()
  0.00      0.17     0.00    15516     0.00     0.00  __gnu_cxx::__normal_iterator<std::string* const*, std::vector<std::string*, std::allocator<std::string*> > >::__normal_iterator(std::string* const* const&)
  0.00      0.17     0.00    15400     0.00     0.00  __gnu_cxx::__normal_iterator<std::string* const*, std::vector<std::string*, std::allocator<std::string*> > >::base() const
  0.00      0.17     0.00    15354     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end()
  0.00      0.17     0.00    14571     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_put_node(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      0.17     0.00    14547     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::destroy(std::pair<std::string const, std::string>*)
  0.00      0.17     0.00    14536     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::destroy_node(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      0.17     0.00    14504     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::deallocate(std::_Rb_tree_node<std::pair<std::string const, std::string> >*, unsigned int)
  0.00      0.17     0.00    14483     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::max_size() const
  0.00      0.17     0.00    14471     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::allocate(unsigned int, void const*)
  0.00      0.17     0.00    14435     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::lower_bound(std::string const&)
  0.00      0.17     0.00    14429     0.00     0.00  std::pair<std::string const, std::string>::pair(std::string const&, std::string const&)
  0.00      0.17     0.00    14426     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_get_node()
  0.00      0.17     0.00    14421     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::construct(std::pair<std::string const, std::string>*, std::pair<std::string const, std::string> const&)
  0.00      0.17     0.00    14418     0.00     0.00  std::pair<std::string const, std::string>::pair(std::pair<std::string const, std::string> const&)
  0.00      0.17     0.00    14400     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::lower_bound(std::string const&)
  0.00      0.17     0.00    14390     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::insert_unique(std::_Rb_tree_iterator<std::pair<std::string const, std::string> >, std::pair<std::string const, std::string> const&)
  0.00      0.17     0.00    14387     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::operator[](std::string const&)
  0.00      0.17     0.00    14374     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_create_node(std::pair<std::string const, std::string> const&)
  0.00      0.17     0.00    14366     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::string> >::operator->() const
  0.00      0.17     0.00    14357     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::insert(std::_Rb_tree_iterator<std::pair<std::string const, std::string> >, std::pair<std::string const, std::string> const&)
  0.00      0.17     0.00    14355     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_insert(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<std::string const, std::string> const&)
  0.00      0.17     0.00    14279     0.00     0.00  HttpRequest::getRequestId() const
  0.00      0.17     0.00    14039     0.00     0.00  std::iterator_traits<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::difference_type std::distance<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >(std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >, std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >)
  0.00      0.17     0.00    14030     0.00     0.00  std::list<zAPI::IModuleInfo*, std::allocator<zAPI::IModuleInfo*> >::end()
  0.00      0.17     0.00    14027     0.00     0.00  std::list<ModuleManager::RefCounter<ModuleManager::ModuleStuff>, std::allocator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::end() const
  0.00      0.17     0.00    13986     0.00     0.00  std::list<ModuleManager::RefCounter<ModuleManager::ModuleStuff>, std::allocator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::size() const
  0.00      0.17     0.00    13977     0.00     0.00  std::iterator_traits<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::iterator_category std::__iterator_category<std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >(std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > const&)
  0.00      0.17     0.00    13974     0.00     0.00  std::list<zAPI::IModuleInfo*, std::allocator<zAPI::IModuleInfo*> >::begin()
