Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.10     0.00    13645     0.00     0.00  __gnu_cxx::__normal_iterator<zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > >::base() const
  0.00      0.10     0.00    13187     0.00     0.00  Parser::setIgnore(bool)
  0.00      0.10     0.00    13149     0.00     0.00  Singleton<ModuleManager>::getInstance()
  0.00      0.10     0.00    12514     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_right(std::_Rb_tree_node_base const*)
  0.00      0.10     0.00    12465     0.00     0.00  Parser::isNum(char) const
  0.00      0.10     0.00    12436     0.00     0.00  std::_List_iterator<zAPI::IModuleInfo*>::operator!=(std::_List_iterator<zAPI::IModuleInfo*> const&) const
  0.00      0.10     0.00    12106     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_begin()
  0.00      0.10     0.00    11968     0.00     0.00  __gnu_cxx::new_allocator<std::string*>::new_allocator()
  0.00      0.10     0.00    11903     0.00     0.00  std::allocator<std::string*>::~allocator()
  0.00      0.10     0.00    11898     0.00     0.00  __gnu_cxx::new_allocator<std::string*>::~new_allocator()
  0.00      0.10     0.00    11541     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.10     0.00    11246     0.00     0.00  std::allocator<std::string*>::allocator<std::_List_node<std::string*> >(std::allocator<std::_List_node<std::string*> > const&)
